text,label
Tôi muốn đặt một cái lịch hẹn,dat_lich
Cho tôi hẹn vào 9h sáng mai,dat_lich
Tôi có thể đặt lịch được không?,dat_lich
Đặt lịch hẹn khám bệnh,dat_lich
Tôi muốn đặt cuộc hẹn,dat_lich
Xin đặt lịch vào thứ 2 tuần sau,dat_lich
Có thể giúp tôi đặt lịch không?,dat_lich
Tôi cần một cuộc hẹn gấp,dat_lich
Book lịch giúp tôi nhé,dat_lich
Đăng ký lịch hẹn,dat_lich
"Xin chào, tôi muốn hỏi thông tin",hoi_thong_tin
Sản phẩm này giá bao nhiêu?,hoi_thong_tin
Cho tôi biết thêm chi tiết,hoi_thong_tin
Tôi muốn tìm hiểu về dịch vụ,hoi_thong_tin
Giải thích giúp tôi về vấn đề này,hoi_thong_tin
Có thể cho tôi biết thêm không?,hoi_thong_tin
Tôi cần tư vấn,hoi_thong_tin
Thông tin về lịch làm việc,hoi_thong_tin
Quy trình đăng ký thế nào?,hoi_thong_tin
Chi phí dịch vụ ra sao?,hoi_thong_tin
Tôi không hiểu,unknown
Nói lại đi,unknown
Không rõ lắm,unknown
Bạn nói gì tôi không nghe rõ,unknown
Lặp lại được không?,unknown
Hả?,unknown
Tôi bị lạc đề rồi,unknown
Không biết phải làm sao,unknown
Tôi đang bối rối quá,unknown
Cái này là sao?,unknown
Cảm ơn,cam_on
Tuyệt vời,cam_on
Cảm ơn bạn nhiều,cam_on
Rất hữu ích,cam_on
Tốt quá,cam_on
Cám ơn sự giúp đỡ,cam_on
Thank you,cam_on
Hay quá,cam_on
Giỏi lắm,cam_on
Cảm ơn nhé,cam_on
Tạm biệt,tam_biet
Kết thúc đi,tam_biet
Hẹn gặp lại,tam_biet
Chào tạm biệt,tam_biet
Goodbye,tam_biet
Tôi phải đi đây,tam_biet
Kết thúc cuộc gọi,tam_biet
Bye bye,tam_biet
Hẹn gặp sau,tam_biet
Chào nhé,tam_biet
Đúng rồi,xac_nhan
OK,xac_nhan
Được,xac_nhan
Tôi đồng ý,xac_nhan
Chấp nhận,xac_nhan
Vâng ạ,xac_nhan
Đồng ý,xac_nhan
Tôi xác nhận,xac_nhan
Chính xác,xac_nhan
Đúng vậy,xac_nhan
Yes,xac_nhan
Oke,xac_nhan
Tôi đồng ý với điều đó,xac_nhan
Xác nhận,xac_nhan
Đồng ý với đề xuất,xac_nhan
Không,tu_choi
Không phải,tu_choi
