text,label
Không dự định nữa,tu_choi
Có thể cho tôi nắm thêm không?,hoi_thong_tin
Địa chỉ của các bạn ơi,hoi_dia_chi
Tôi từ chối,tu_choi
Chi nhánh gần nhất,hoi_dia_chi
Các bạn làm việc vào thứ mấy?,hoi_gio_lam_viec
Chào tạm biệt ơi,tam_biet
Không rõ lắm,unknown
giúp tôi,yeu_cau_ho_tro
Cần người hỗ trợ,yeu_cau_ho_tro
OK ạ,xac_nhan
dịch vụ ra sao,hoi_thong_tin
Chấp nhận ạ,xac_nhan
Tôi muốn muốn hoàn tiền,khieu_nai
Tọa độ nhé,hoi_dia_chi
Có thể cho tôi biết thêm không? nhé,hoi_thong_tin
Làm sao để giải quyết? nhé,yeu_cau_ho_tro
Kết thúc cuộc gọi ạ,tam_biet
Cho tôi biết về chính sách,hoi_thong_tin
Thank you nhé,cam_on
Đăng ký lịch hẹn,dat_lich
Kết thúc đi ạ,tam_biet
Giúp tôi tạo lịch hẹn,dat_lich
Hẹn gặp lại ,tam_biet
Không biết phải làm sao ạ,unknown
ạ hay lắm,cam_on
Có thể cho tôi rõ thêm không?,hoi_thong_tin
Chấp nhận nhé,xac_nhan
Tôi cần hỗ trợ ạ,yeu_cau_ho_tro
điều kiện ra sao,hoi_thong_tin
Giờ làm việc của bạn,hoi_gio_lam_viec
Vị trí trên bản đồ,hoi_dia_chi
Thanks bạn nhiều,cam_on
bị lừa quá,khieu_nai
Tôi thất vọng,khieu_nai
Tôi muốn tìm hiểu về dịch vụ nhé,hoi_thong_tin
Chấp nhận,xac_nhan
Tôi đang nắm được,unknown
Tôi muốn đặt một cái lịch hẹn nhé,dat_lich
Đồng ý ạ,xac_nhan
Tôi không hài lòng ạ,khieu_nai
Cám ơn sự giúp đỡ ạ,cam_on
Vâng ạ nhé,xac_nhan
Xin hỏi về lịch làm việc,hoi_thong_tin
Thank you ạ,cam_on
Có thể đăng ký cho tôi một cuộc hẹn không,dat_lich
Chào tạm biệt nhé,tam_biet
Lịch làm việc hôm nay,hoi_gio_lam_viec
Có thể cho tôi biết thêm không? ạ,hoi_thong_tin
Không chuyên nghiệp ạ,khieu_nai
Dịch vụ không tuyệt,khieu_nai
Tôi cần một cuộc hẹn khẩn cấp,dat_lich
rất nhiều cảm ơn,cam_on
Thank you,cam_on
Tôi muốn đặt một cái lịch hẹn,dat_lich
Giúp tôi đặt lịch hẹn,dat_lich
Mấy giờ mở cửa?,hoi_gio_lam_viec
Làm việc mấy giờ một ngày?,hoi_gio_lam_viec
Cho tôi biết về thủ tục,hoi_thong_tin
Thứ 7 có làm việc không? nhé,hoi_gio_lam_viec
Cảm ơn ,cam_on
Hả? ạ,unknown
Giờ đóng cửa là lúc nào?,hoi_gio_lam_viec
khiếu nại,khieu_nai
Các bạn mở cửa lúc mấy giờ?,hoi_gio_lam_viec
hỗ trợ tôi,yeu_cau_ho_tro
Tôi muốn đặt một cái lịch hẹn ạ,dat_lich
Kết thúc ạ,tam_biet
Làm sao để giải quyết? ạ,yeu_cau_ho_tro
Tôi nắm được bối rối,unknown
Cho tôi biết thêm chi tiết,hoi_thong_tin
Tôi muốn muốn khiếu nại,khieu_nai
Tôi không hài lòng nhé,khieu_nai
Tôi không cần,tu_choi
bye bye,tam_biet
Tốt quá,cam_on
Giờ làm việc thế nào?,hoi_gio_lam_viec
đặt lịch giúp tôi,dat_lich
Tôi cần tư vấn,hoi_thong_tin
Bạn nói gì tôi không nghe rõ nhé,unknown
Thôi,tu_choi
Tôi không hiểu ạ,unknown
Tôi không nắm làm thế nào,yeu_cau_ho_tro
Tôi muốn hỏi về thông tin,hoi_thong_tin
Hay quá nhé,cam_on
Cho tôi book lịch,dat_lich
Tôi có thể đặt lịch được không? ạ,dat_lich
lịch làm việc ra sao,hoi_thong_tin
Không cần ạ,tu_choi
Lịch làm việc trong tuần,hoi_gio_lam_viec
Đặt lịch hẹn khám bệnh nhé,dat_lich
Lặp lại được không?,unknown
Thời gian làm việc hôm nay,hoi_gio_lam_viec
Tôi cần hỗ trợ,yeu_cau_ho_tro
Nói lại đi nhé,unknown
Hỗ trợ kỹ thuật,yeu_cau_ho_tro
trợ giúp khẩn cấp,yeu_cau_ho_tro
nha tốt quá,cam_on
Tôi muốn gửi muốn hoàn tiền,khieu_nai
Hẹn gặp sau,tam_biet
trong tuần mấy giờ,hoi_gio_lam_viec
Xin đặt lịch vào thứ 2 tuần sau,dat_lich
Có thể cho tôi biết thêm không?,hoi_thong_tin
Hỗ trợ khẩn cấp ạ,yeu_cau_ho_tro
Tôi cần trợ giúp nhé,yeu_cau_ho_tro
Tôi bị lừa nhé,khieu_nai
Hỗ trợ khẩn cấp nhé,yeu_cau_ho_tro
Tôi có thể đặt lịch được không? nhé,dat_lich
Làm sao để giải quyết?,yeu_cau_ho_tro
Tôi bị lạc đề rồi ơi,unknown
Giờ làm việc thế nào? nhé,hoi_gio_lam_viec
Đặt lịch hẹn khám bệnh,dat_lich
Có thể tạo cho tôi một cuộc hẹn không,dat_lich
Tôi định phàn nàn,khieu_nai
Tôi muốn tìm hiểu về dịch vụ ạ,hoi_thong_tin
Cho tôi cơ sở,hoi_dia_chi
Tôi không cần điều đó,tu_choi
"Xin chào, tôi dự định hỏi thông tin",hoi_thong_tin
hiểu lại được không,unknown
Tôi không có ý định,tu_choi
Chính xác,xac_nhan
Tôi cần đặt một cái lịch hẹn,dat_lich
Tốt quá ạ,cam_on
Văn phòng ở đâu? nhé,hoi_dia_chi
Không nhé,tu_choi
Xin đăng ký lịch vào thứ 2 tuần sau,dat_lich
Tôi cần một cuộc hẹn gấp,dat_lich
Giúp tôi xử lý vấn đề này,yeu_cau_ho_tro
Dịch vụ tệ quá ạ,khieu_nai
Lặp lại được không? ơi,unknown
Địa chỉ công ty ạ,hoi_dia_chi
Cần hướng dẫn,yeu_cau_ho_tro
Không hiểu phải làm sao,unknown
Tôi đang bối rối quá nhé,unknown
Cần người hỗ trợ ạ,yeu_cau_ho_tro
Yes,xac_nhan
Tọa độ,hoi_dia_chi
Tôi có ý định nắm địa chỉ,hoi_dia_chi
Dịch vụ tệ quá,khieu_nai
bạn tạm biệt,tam_biet
Tôi có ý định gửi khiếu nại,khieu_nai
bạn tốt quá,cam_on
Địa chỉ công ty,hoi_dia_chi
Tôi đúng điều đó,xac_nhan
Tôi muốn phàn nàn,khieu_nai
Tôi cần sự giúp đỡ,yeu_cau_ho_tro
nghe rõ không rõ,unknown
Tôi muốn phàn nàn,khieu_nai
Cám ơn ạ,cam_on
Tôi đồng ý,xac_nhan
Tôi phải đi đây,tam_biet
Goodbye nhé,tam_biet
Bạn nói gì tôi không nghe rõ,unknown
Địa chỉ công ty nhé,hoi_dia_chi
Tạm biệt ,tam_biet
Giải thích cho tôi về lịch làm việc,hoi_thong_tin
Tôi cần hướng dẫn,yeu_cau_ho_tro
Có ai hỗ trợ không?,yeu_cau_ho_tro
nắm được lại được không,unknown
được ạ,xac_nhan
không cần nữa,tu_choi
Hẹn gặp lại ạ,tam_biet
Hủy bỏ,tu_choi
Các bạn mở cửa lúc mấy giờ? ơi,hoi_gio_lam_viec
Hẹn gặp lại nhé,tam_biet
Tôi cần trợ giúp ạ,yeu_cau_ho_tro
văn phòng gần nhất,hoi_dia_chi
Tôi đồng ý ạ,xac_nhan
Tôi có thể tạo lịch được không,dat_lich
Rất hữu ích nhé,cam_on
Các bạn ở đâu?,hoi_dia_chi
Không muốn nữa,tu_choi
Mấy giờ mở cửa? ạ,hoi_gio_lam_viec
muốn hoàn tiền quá,khieu_nai
Cho tôi biết thêm chi tiết ạ,hoi_thong_tin
Tôi không nghe,unknown
Oke,xac_nhan
Đúng vậy,xac_nhan
Có thể giúp tôi đặt lịch không?,dat_lich
Giờ làm việc thế nào? ạ,hoi_gio_lam_viec
Cho tôi địa chỉ nhé,hoi_dia_chi
Tốt quá nhé,cam_on
Cảm ơn bạn nhiều ơi,cam_on
Kết thúc bạn,tam_biet
Tôi muốn hẹn một cái lịch hẹn,dat_lich
không đồng ý ạ,tu_choi
Không biết phải làm sao nhé,unknown
Nói lại đi,unknown
Không ạ,tu_choi
không đồng ý,tu_choi
Bye bye,tam_biet
Tôi cần tư vấn hỗ trợ,yeu_cau_ho_tro
Tôi không biết làm thế nào,yeu_cau_ho_tro
Không như quảng cáo,khieu_nai
Tôi muốn khiếu nại,khieu_nai
Kết thúc cuộc gọi nhé,tam_biet
Bye bye nhé,tam_biet
Cái này là sao?,unknown
Được nhé,xac_nhan
Chào tạm biệt,tam_biet
Tôi muốn gửi khiếu nại,khieu_nai
Hay quá ạ,cam_on
Tôi có thể đặt lịch được không?,dat_lich
nghe lại được không,unknown
Xin hỏi về thông tin,hoi_thong_tin
Lịch làm việc,hoi_gio_lam_viec
Rất hữu ích,cam_on
Địa chỉ cụ thể là gì?,hoi_dia_chi
Không rõ lắm nhé,unknown
Thanks rất nhiều,cam_on
Cho tôi xin địa chỉ,hoi_dia_chi
Tôi muốn khiếu nại nhé,khieu_nai
Không rõ phải làm sao,unknown
Địa chỉ cụ thể là gì? nhé,hoi_dia_chi
"Xin chào, tôi muốn hỏi thông tin nhé",hoi_thong_tin
Xin đặt lịch,dat_lich
Làm ơn tạo lịch cho tôi,dat_lich
Thanks nha,cam_on
Cảm ơn bạn nhiều,cam_on
Tôi không muốn,tu_choi
Được,xac_nhan
Chào bye,tam_biet
"Xin chào, tôi cần muốn biết thông tin",hoi_thong_tin
Tôi đồng ý điều đó,xac_nhan
Cho tôi địa chỉ,hoi_dia_chi
