text,label
Không biết phải làm sao nhé,unknown
Giúp tôi tạo lịch hẹn,dat_lich
Tôi muốn đặt cuộc hẹn ạ,dat_lich
nhiều hay lắm,cam_on
Giỏi lắm,cam_on
Không rõ lắm ạ,unknown
Cho tôi biết về lịch làm việc,hoi_thong_tin
ạ tạm biệt,tam_biet
Hẹn gặp lại ơi,tam_biet
Có thể cho tôi biết thêm không?,hoi_thong_tin
Tôi muốn tìm hiểu về dịch vụ ạ,hoi_thong_tin
Goodbye nhé,tam_biet
Tôi phải đi đây,tam_biet
Cho tôi biết về chi phí,hoi_thong_tin
Chào bạn,tam_biet
Kết thúc đi ạ,tam_biet
Có thể cho tôi nắm thêm không?,hoi_thong_tin
Hay quá nhé,cam_on
Không rõ lắm,unknown
Tôi dự định tìm hiểu về dịch vụ,hoi_thong_tin
Tốt quá,cam_on
Tôi có thể đặt lịch được không? ạ,dat_lich
Giỏi lắm nhé,cam_on
Tôi không biết,unknown
Cho tôi biết thêm chi tiết ạ,hoi_thong_tin
Thông tin về chi phí,hoi_thong_tin
Lặp lại được không?,unknown
Cho tôi biết về giá cả,hoi_thong_tin
Cám ơn sự giúp đỡ,cam_on
Tuyệt vời ạ,cam_on
Đăng ký lịch hẹn,dat_lich
Tôi cần đăng ký một cuộc hẹn,dat_lich
Tôi muốn tìm hiểu lịch làm việc,hoi_thong_tin
Có thể cho tôi biết thêm không? nhé,hoi_thong_tin
Cảm ơn bạn nhiều ơi,cam_on
hiểu không rõ,unknown
Tuyệt vời nhé,cam_on
Cám ơn nhiều,cam_on
Goodbye,tam_biet
Có thể cho tôi biết quy trình không,hoi_thong_tin
Tôi cần tư vấn về giá cả,hoi_thong_tin
Chào nhé ơi,tam_biet
Tôi định đặt một cái lịch hẹn,dat_lich
book cuộc hẹn giúp tôi,dat_lich
Cảm ơn bạn nhiều,cam_on
Kết thúc cuộc gọi nhé,tam_biet
Xin hẹn lịch,dat_lich
Tôi muốn tạo lịch hẹn,dat_lich
Cám ơn sự giúp đỡ nhé,cam_on
Tôi bị lạc đề rồi,unknown
nắm được không rõ,unknown
Chào tạm biệt ơi,tam_biet
Xin đặt lịch vào thứ 2 tuần sau,dat_lich
Thank you,cam_on
Tôi không hiểu ạ,unknown
Xin hỏi về dịch vụ,hoi_thong_tin
Tốt quá nhé,cam_on
Tôi không nắm được,unknown
Hẹn gặp sau ạ,tam_biet
nghe không rõ,unknown
Chào nhé,tam_biet
Tôi nghe rõ bối rối,unknown
Tôi muốn đặt cuộc hẹn nhé,dat_lich
Tôi có thể đăng ký lịch được không?,dat_lich
Tôi dự định hẹn một cái lịch hẹn,dat_lich
Không biết phải làm sao ạ,unknown
Cho tôi biết thêm chi tiết,hoi_thong_tin
Kết thúc đi nhé,tam_biet
nghe rõ không rõ,unknown
Cảm ơn nhé,cam_on
Tôi muốn tìm hiểu về dịch vụ nhé,hoi_thong_tin
Hay quá,cam_on
Hẹn gặp lại,tam_biet
Sản phẩm này giá bao nhiêu?,hoi_thong_tin
Bạn nói gì tôi không nghe rõ ơi,unknown
Tôi biết bối rối,unknown
Tôi có thể đặt lịch được không? nhé,dat_lich
bạn nhiều cảm ơn,cam_on
nắm được lại được không,unknown
Hả? nhé,unknown
Tôi có thể đặt lịch được không?,dat_lich
Có thể cung cấp tôi biết thêm không?,hoi_thong_tin
Tôi cần tư vấn,hoi_thong_tin
Kết thúc ạ,tam_biet
Hẹn gặp lại ,tam_biet
Hả?,unknown
Kết thúc đi,tam_biet
Cho tôi hẹn lịch,dat_lich
ạ bye,tam_biet
lịch làm việc ra sao,hoi_thong_tin
Tôi cần một cuộc hẹn nhanh,dat_lich
Cám ơn nhé,cam_on
Tôi bị lạc đề rồi ơi,unknown
